Facility_ID,Facility_Name,Address,City,State,County_Name,ZIP_Code,Phone_Number,Pct_Catheter_Associated_Urinary_Tract_Infections,Pct_Central_Line_Associated_Bloodstream_Infections,Pct_Clostridium_Difficile_CDiff_Infections,Pct_MRSA_Bacteremia_Infections,Pct_Abdominal_Hysterectomy_Infections,Pct_SSI_Colon_Surgery_Infections,Pct_Hospital_Acquired_Infections,Catheter_Associated_Urinary_Tract_Infections_Numerator,Catheter_Associated_Urinary_Tract_Infections_Denominator,Central_Line_Associated_Bloodstream_Infection_Numerator,Central_Line_Associated_Bloodstream_Infection_Denominator,Clostridium_Difficile_CDiff_Numerator,Clostridium_Difficile_CDiff_Denominator,MRSA_Bacteremia_Numerator,MRSA_Bacteremia_Denominator,SSI_Abdominal_Hysterectomy_Numerator,SSI_Abdominal_Hysterectomy_Denominator,SSI_Colon_Surgery_Numerator,SSI_Colon_Surgery_Denominator,Total_Numerator,Total_Denominator
93300,CHILDREN'S NATIONAL HOSPITAL,"111 MICHIGAN AVE, NW",WASHINGTON,DC,District of Columbia,20010,(202) 476-5000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90011,MEDSTAR WASHINGTON HOSPITAL CENTER,110 IRVING STREET NW,WASHINGTON,DC,District of Columbia,20010,(202) 877-7000,0.05%,0.05%,0.03%,0.01%,0.43%,3.13%,0.03%,18,33290,21,38667,60,198202,21,215101,1,234,13,415,134,485909
90008,UNITED MEDICAL CENTER,1310 SOUTHERN AVENUE  SE,WASHINGTON,DC,District of Columbia,20032,(202) 574-6611,0.04%,0.00%,0.03%,0.01%,0.00%,9.09%,0.02%,1,2484,0,1282,7,25134,2,25134,0,8,1,11,11,54053
90005,SIBLEY MEMORIAL HOSPITAL,5255 LOUGHBORO RD NW,WASHINGTON,DC,District of Columbia,20016,(202) 537-4680,0.12%,0.16%,0.04%,0.01%,1.05%,0.97%,0.03%,5,4029,8,4921,22,57420,4,69903,3,287,2,206,44,136766
90004,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,3800 RESERVOIR RD,WASHINGTON,DC,District of Columbia,20007,(202) 784-3000,0.07%,0.06%,0.05%,0.01%,1.19%,0.00%,0.03%,8,11602,9,14551,56,112089,9,122524,1,84,0,174,83,261024
90003,HOWARD UNIVERSITY HOSPITAL,2041 GEORGIA AVE NW,WASHINGTON,DC,District of Columbia,20060,(202) 745-6100,0.11%,0.21%,0.04%,0.01%,0.00%,0.00%,0.04%,6,5581,16,7445,17,45449,4,50206,0,32,0,37,43,108750
90001,GEORGE WASHINGTON UNIV HOSPITAL,900 23RD ST NW,WASHINGTON,DC,District of Columbia,20037,(202) 716-4605,0.14%,0.18%,0.03%,0.01%,0.00%,2.75%,0.04%,14,9818,24,13332,29,103657,13,115218,0,108,5,182,85,242315
83300,ALFRED I DUPONT HOSPITAL FOR CHILDREN,1600 ROCKLAND RD PO BOX 269,WILMINGTON,DE,New Castle,19899,(302) 651-4000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80009,"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",100 WELLNESS WAY,MILFORD,DE,Sussex,19963,(302) 422-3311,0.00%,0.23%,0.07%,0.01%,0.00%,2.17%,0.04%,0,1234,2,873,20,26810,2,27746,0,52,1,46,25,56761
80007,BEEBE MEDICAL CENTER,424 SAVANNAH RD,LEWES,DE,Sussex,19958,(302) 645-3300,0.17%,0.03%,0.05%,0.00%,0.00%,2.14%,0.03%,6,3514,1,3270,21,44360,1,46002,0,24,4,187,33,97357
80006,NANTICOKE MEMORIAL HOSPITAL,801 MIDDLEFORD RD,SEAFORD,DE,Sussex,19973,(302) 629-6611,0.04%,0.15%,0.04%,0.01%,0.00%,0.00%,0.03%,1,2330,3,2006,9,23513,2,25328,0,30,0,27,15,53234
80004,"BAYHEALTH HOSPITAL, KENT CAMPUS",640 S STATE STREET,DOVER,DE,Kent,19901,(302) 744-7001,0.05%,0.08%,0.05%,0.01%,0.00%,4.35%,0.03%,3,6051,4,5241,40,80908,7,86055,0,63,7,161,61,178479
80003,ST FRANCIS HOSPITAL,7TH AND CLAYTON STS,WILMINGTON,DE,New Castle,19805,(302) 421-4100,0.10%,0.06%,0.03%,0.01%,0.00%,5.26%,0.03%,3,3073,2,3375,5,16980,1,17517,0,80,2,38,13,41063
80001,CHRISTIANA HOSPITAL,4755 OGLETOWN-STANTON ROAD,NEWARK,DE,New Castle,19718,(302) 733-1000,0.03%,0.06%,0.02%,0.01%,0.68%,1.98%,0.02%,5,16916,19,34460,62,279493,15,289540,3,442,14,707,118,621558
73300,CONNECTICUT CHILDRENS MEDICAL CENTER,282 WASHINGTON STREET,HARTFORD,CT,Hartford,6106,(860) 545-9000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70040,HEBREW HOME AND HOSPITAL INC,1 ABRAHMS BOULEVARD,WEST HARTFORD,CT,Hartford,6117,(860) 523-3800,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70039,MASONICARE HEALTH CENTER HOSPITAL,22 MASONIC AVE,WALLINGFORD,CT,New Haven,6492,(203) 679-5900,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70038,THE CONNECTICUT HOSPICE INC.,100 DOUBLE BEACH ROAD,BRANFORD,CT,New Haven,6405,(203) 315-7500,0.26%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,1,384,0,485,0,5644,0,5644,0,0,0,0,1,12157
70036,JOHN DEMPSEY HOSPITAL,263 FARMINGTON AVE,FARMINGTON,CT,Hartford,6032,(860) 679-1145,0.05%,0.06%,0.03%,0.00%,0.84%,1.98%,0.02%,2,3659,2,3332,12,39066,1,40677,1,119,2,101,20,86954
